Player_ID_Full,Role
Marc Albrighton_ENG_DFFW_Leicester City_Premier League_30_2020-2021,Defensive Winger
Marcos Alonso_ESP_DF_Chelsea_Premier League_29_2020-2021,Fullback
Marcus Rashford_ENG_FW_Manchester Utd_Premier League_22_2020-2021,Winger
Mario Lemina_GAB_MF_Fulham_Premier League_26_2020-2021,Defensive Midfielder
Mark Noble_ENG_MF_West Ham_Premier League_33_2020-2021,Centre Midfielder
Martin Dúbravka_SVK_GK_Newcastle Utd_Premier League_31_2020-2021,Goalkeeper
Martin Ødegaard_NOR_MF_Arsenal_Premier League_21_2020-2021,Attacking Midfielder
Martinelli_BRA_FW_Arsenal_Premier League_19_2020-2021,Winger
Marvelous Nakamba_ZIM_MF_Aston Villa_Premier League_26_2020-2021,Defensive Midfielder
Mason Greenwood_ENG_FW_Manchester Utd_Premier League_18_2020-2021,Winger
Mason Holgate_ENG_DF_Everton_Premier League_23_2020-2021,Centreback
Mason Mount_ENG_MFFW_Chelsea_Premier League_21_2020-2021,Attacking Midfielder
Matěj Vydra_CZE_FW_Burnley_Premier League_28_2020-2021,Striker
Mateo Kovačić_CRO_MF_Chelsea_Premier League_26_2020-2021,Centre Midfielder
Mateusz Klich_POL_MF_Leeds United_Premier League_30_2020-2021,Centre Midfielder
Matheus Pereira_POR_MFFW_West Brom_Premier League_24_2020-2021,Attacking Midfielder
Mathew Ryan_AUS_GK_Brighton_Premier League_28_2020-2021,Goalkeeper
Matt Doherty_IRL_DF_Tottenham_Premier League_28_2020-2021,Fullback
Matt Phillips_SCO_MFFW_West Brom_Premier League_29_2020-2021,Winger
Matt Ritchie_SCO_DFMF_Newcastle Utd_Premier League_30_2020-2021,Fullback
Matt Targett_ENG_DF_Aston Villa_Premier League_24_2020-2021,Fullback
Matthew Lowton_ENG_DF_Burnley_Premier League_31_2020-2021,Fullback
Matty Cash_POL_DF_Aston Villa_Premier League_22_2020-2021,Fullback
Max Kilman_ENG_DF_Wolves_Premier League_23_2020-2021,Centreback
Max Lowe_ENG_DF_Sheffield Utd_Premier League_23_2020-2021,Fullback
Mbaye Diagne_SEN_FW_West Brom_Premier League_28_2020-2021,Striker
Michael Keane_ENG_DF_Everton_Premier League_27_2020-2021,Centreback
Michail Antonio_JAM_FW_West Ham_Premier League_30_2020-2021,Striker
Michy Batshuayi_BEL_FW_Crystal Palace_Premier League_26_2020-2021,Striker
Miguel Almirón_PAR_MFFW_Newcastle Utd_Premier League_26_2020-2021,Attacking Midfielder
Mohamed Elneny_EGY_MF_Arsenal_Premier League_28_2020-2021,Defensive Midfielder
Mohamed Salah_EGY_FW_Liverpool_Premier League_28_2020-2021,Winger
Mohammed Salisu_GHA_DF_Southampton_Premier League_21_2020-2021,Centreback
Morgan Gibbs-White_ENG_MFFW_Wolves_Premier League_20_2020-2021,Centre Midfielder
Moussa Djenepo_MLI_MF_Southampton_Premier League_22_2020-2021,Winger
Moussa Sissoko_FRA_MF_Tottenham_Premier League_30_2020-2021,Centre Midfielder
Naby Keïta_GUI_MF_Liverpool_Premier League_25_2020-2021,Centre Midfielder
Nampalys Mendy_SEN_MF_Leicester City_Premier League_28_2020-2021,Defensive Midfielder
Nathan Aké_NED_DF_Manchester City_Premier League_25_2020-2021,Centreback
Nathan Redmond_ENG_MFFW_Southampton_Premier League_26_2020-2021,Winger
Nathan Tella_ENG_FWMF_Southampton_Premier League_21_2020-2021,Winger
Nathaniel Clyne_ENG_DF_Crystal Palace_Premier League_29_2020-2021,Fullback
Nathaniel Phillips_ENG_DF_Liverpool_Premier League_23_2020-2021,Centreback
Neal Maupay_FRA_FWMF_Brighton_Premier League_23_2020-2021,Striker
Nélson Semedo_POR_DF_Wolves_Premier League_26_2020-2021,Fullback
Nemanja Matić_SRB_MF_Manchester Utd_Premier League_31_2020-2021,Defensive Midfielder
N'Golo Kanté_FRA_MF_Chelsea_Premier League_29_2020-2021,Defensive Midfielder
Nick Pope_ENG_GK_Burnley_Premier League_28_2020-2021,Goalkeeper
Nicolas Pépé_CIV_FW_Arsenal_Premier League_25_2020-2021,Winger
Okay Yokuşlu_TUR_MF_West Brom_Premier League_26_2020-2021,Defensive Midfielder
Ola Aina_NGA_DF_Fulham_Premier League_23_2020-2021,Fullback
Oleksandr Zinchenko_UKR_DF_Manchester City_Premier League_23_2020-2021,Fullback
Oliver Burke_SCO_FW_Sheffield Utd_Premier League_23_2020-2021,Striker
Oliver McBurnie_SCO_FW_Sheffield Utd_Premier League_24_2020-2021,Striker
Oliver Norwood_NIR_MF_Sheffield Utd_Premier League_29_2020-2021,Centre Midfielder
Olivier Giroud_FRA_FW_Chelsea_Premier League_33_2020-2021,Striker
Ollie Watkins_ENG_FW_Aston Villa_Premier League_24_2020-2021,Striker
Oriol Romeu_ESP_MF_Southampton_Premier League_28_2020-2021,Defensive Midfielder
Ozan Kabak_TUR_DF_Liverpool_Premier League_20_2020-2021,Centreback
Pablo Fornals_ESP_FWMF_West Ham_Premier League_24_2020-2021,Attacking Midfielder
Pablo Hernández_ESP_MFFW_Leeds United_Premier League_35_2020-2021,Attacking Midfielder
Pablo Marí_ESP_DF_Arsenal_Premier League_26_2020-2021,Centreback
Pascal Groß_GER_MFDF_Brighton_Premier League_29_2020-2021,Centre Midfielder
Pascal Struijk_NED_DFMF_Leeds United_Premier League_20_2020-2021,Centreback
Patrick Bamford_ENG_FW_Leeds United_Premier League_26_2020-2021,Striker
Patrick van Aanholt_NED_DF_Crystal Palace_Premier League_29_2020-2021,Fullback
Paul Dummett_WAL_DF_Newcastle Utd_Premier League_28_2020-2021,Fullback
Paul Pogba_FRA_MFFW_Manchester Utd_Premier League_27_2020-2021,Centre Midfielder
Pedro Neto_POR_FWMF_Wolves_Premier League_20_2020-2021,Winger
Phil Foden_ENG_FWMF_Manchester City_Premier League_20_2020-2021,Centre Midfielder
Phil Jagielka_ENG_DF_Sheffield Utd_Premier League_37_2020-2021,Centreback
Pierre Højbjerg_DEN_MF_Tottenham_Premier League_24_2020-2021,Defensive Midfielder
Pierre-Emerick Aubameyang_GAB_FW_Arsenal_Premier League_31_2020-2021,Striker
Raheem Sterling_ENG_FW_Manchester City_Premier League_25_2020-2021,Winger
Raphael Dias Belloli_BRA_MF_Leeds United_Premier League_23_2020-2021,Winger
Raúl Jiménez_MEX_FW_Wolves_Premier League_29_2020-2021,Striker
Rayan Aït Nouri_FRA_DF_Wolves_Premier League_19_2020-2021,Fullback
Reece James_ENG_DF_Chelsea_Premier League_20_2020-2021,Fullback
Rhian Brewster_ENG_FW_Sheffield Utd_Premier League_20_2020-2021,Striker
Rhys Williams_ENG_DF_Liverpool_Premier League_19_2020-2021,Centreback
Ricardo Pereira_POR_DF_Leicester City_Premier League_26_2020-2021,Fullback
Richarlison_BRA_FW_Everton_Premier League_23_2020-2021,Striker
Riyad Mahrez_ALG_FW_Manchester City_Premier League_29_2020-2021,Winger
Rob Holding_ENG_DF_Arsenal_Premier League_24_2020-2021,Centreback
Robbie Brady_IRL_MF_Burnley_Premier League_28_2020-2021,Defensive Winger
Robert Sánchez_ESP_GK_Brighton_Premier League_22_2020-2021,Goalkeeper
Robert Snodgrass_SCO_MFFW_West Brom_Premier League_32_2020-2021,Winger
Roberto Firmino_BRA_FW_Liverpool_Premier League_28_2020-2021,Striker
